"","game_n","indicator","loc","loc_2","h_a","miles","n_veh","transp_type","co_2gas","pop_trip","co_2pcap"
"1",1,"mice","Hamilton","College","Away","205",1,"pete","165.64",31,5.34322580645161
"2",2,"mice","Saint","Michael","Home","0",1,"none","0",31,0
"3",3,"mice","SUNY","Geneseo","Home","0",1,"none","0",31,0
"4",4,"mice","Babson","College","Away","83.9",1,"pete","67.7912",31,2.18681290322581
"5",5,"mice","Wesleyan","University","Away","66.9",1,"pete","54.0552",31,1.74371612903226
"6",6,"mice","Trinity","College","Away","52.4",1,"pete","42.3392",31,1.36578064516129
"7",7,"mice","Williams","College","Away","59.8",1,"pete","48.3184",31,1.55865806451613
"8",8,"mice","Middlebury","College","Away","85",1,"pete","68.68",31,2.21548387096774
"9",9,"mice","Endicott","College","Away","110",1,"pete","88.88",31,2.86709677419355
"10",10,"mice","Curry","College","Away","96.8",1,"pete","78.2144",31,2.52304516129032
"11",11,"mice","Bowdoin","College","Home","0",1,"none","0",31,0
"12",12,"mice","Colby","College","Home","0",1,"none","0",31,0
"13",13,"mice","Tufts","University","Home","0",1,"none","0",31,0
"14",14,"mice","Connecticut","College","Home","0",1,"none","0",31,0
"15",15,"mice","Hamilton","College","Home","0",1,"none","0",31,0
"16",16,"mice","Anna","Maria","Away","43.4",1,"pete","35.0672",31,1.1312
"17",17,"mice","Wesleyan","University","Home","0",1,"none","0",31,0
"18",18,"mice","Trinity","College","Home","0",1,"none","0",31,0
"19",19,"mice","Bowdoin","College","Away","200",1,"pete","161.6",31,5.21290322580645
"20",20,"mice","Colby","College","Away","259",1,"pete","209.272",31,6.75070967741935
"21",21,"mice","Tufts","University","Away","87.7",1,"pete","70.8616",31,2.28585806451613
"22",22,"mice","Connecticut","College","Away","99",1,"pete","79.992",31,2.58038709677419
"23",23,"mice","Williams","College","Home","0",1,"none","0",31,0
"24",24,"mice","Middlebury","College","Home","0",1,"none","0",31,0
"25",1,"wice","Hamilton","College","Away","205",1,"pete","165.64",25,6.6256
"26",2,"wice","Hamilton","College","Away","205",1,"pete","165.64",25,6.6256
"27",3,"wice","UMass","Boston","Away","94.3",1,"pete","76.1944",25,3.047776
"28",4,"wice","Neutral","BowdoinSuffolk","PM","0",1,"none","0",25,0
"29",5,"wice","Middlebury","College","Home","0",1,"none","0",25,0
"30",6,"wice","Middlebury","College","Home","0",1,"none","0",25,0
"31",7,"wice","Manhattanville","College","Home","0",1,"none","0",25,0
"32",8,"wice","Oswego","State","Home","0",1,"none","0",25,0
"33",9,"wice","Vermont","State","Home","0",1,"none","0",25,0
"34",10,"wice","Trinity","College","Away","52.4",1,"pete","42.3392",25,1.693568
"35",11,"wice","Trinity","College","Away","52.4",1,"pete","42.3392",25,1.693568
"36",12,"wice","Connecticut","College","Away","99",1,"pete","79.992",25,3.19968
"37",13,"wice","Connecticut","College","Away","99",1,"pete","79.992",25,3.19968
"38",14,"wice","Norwich","University","Away","147.9",1,"pete","119.5032",25,4.780128
"39",15,"wice","Wesleyan","University","Home","0",1,"none","0",25,0
"40",16,"wice","Wesleyan","University","Home","0",1,"none","0",25,0
"41",17,"wice","Bowdoin","College","Away","200",1,"pete","161.6",25,6.464
"42",18,"wice","Bowdoin","College","Away","200",1,"pete","161.6",25,6.464
"43",19,"wice","Colby","College","Home","0",1,"none","0",25,0
"44",20,"wice","Colby","College","Home","0",1,"none","0",25,0
"45",21,"wice","Western","New","Home","0",1,"none","0",25,0
"46",22,"wice","Curry","College","Away","96.8",1,"pete","78.2144",25,3.128576
"47",23,"wice","Williams","College","Away","59.8",1,"pete","48.3184",25,1.932736
"48",24,"wice","Williams","College","Home","0",1,"none","0",25,0
"49",1,"mbball","Anna","Maria","Home","0",1,"none","0",18,0
"50",2,"mbball","Vermont","State","Home","0",1,"none","0",18,0
"51",3,"mbball","MCLA","Thomas","Home","0",1,"none","0",18,0
"52",4,"mbball","Colby","Sawyer","Home","0",1,"none","0",18,0
"53",5,"mbball","Rhode","Island","Home","0",1,"none","0",18,0
"54",6,"mbball","Springfield","College","Away","27.6",1,"pete","22.3008",18,1.23893333333333
"55",7,"mbball","Yeshiva","University","Home","0",1,"none","0",18,0
"56",8,"mbball","Albertus","Magnus","Home","0",1,"none","0",18,0
"57",9,"mbball","York","College","Away","175",1,"pete","141.4",18,7.85555555555556
"58",10,"mbball","Westfield","State","Home","0",1,"none","0",18,0
"59",11,"mbball","Stevens","Institute","Away","166.9",1,"pete","134.8552",18,7.49195555555556
"60",12,"mbball","Gettysburg","WPI","Neutral","0",1,"none","0",18,0
"61",13,"mbball","Wesleyan","University","Home","0",1,"none","0",18,0
"62",14,"mbball","Williams","College","Away","59.8",1,"pete","48.3184",18,2.68435555555556
"63",15,"mbball","Middlebury","College","Away","85",1,"pete","68.68",18,3.81555555555556
"64",16,"mbball","Tufts","University","Home","0",1,"none","0",18,0
"65",17,"mbball","Bates","College","Home","0",1,"none","0",18,0
"66",18,"mbball","Williams","College","Home","0",1,"none","0",18,0
"67",19,"mbball","Hamilton","College","Home","0",1,"none","0",18,0
"68",20,"mbball","Wesleyan","University","Away","66.9",1,"pete","54.0552",18,3.00306666666667
"69",21,"mbball","Trinity","College","Away","52.4",1,"pete","42.3392",18,2.35217777777778
"70",22,"mbball","Connecticut","College","Away","99",1,"pete","79.992",18,4.444
"71",23,"mbball","Colby","College","Home","0",1,"none","0",18,0
"72",24,"mbball","Bowdoin","College","Home","0",1,"none","0",18,0
"73",0,"mbball","Morocco","Quarter","Away","3588",1,"plane","2569.5",18,0
"74",1,"football","Middlebury","College","Away","85",2,"pete","137.36",100,1.3736
"75",2,"football","Hamilton","College","Home","0",1,"none","0",100,0
"76",3,"football","Trinity","College","Away","52.4",2,"pete","84.6784",100,0.846784
"77",4,"football","Bates","College","Away","207",2,"pete","334.512",100,3.34512
"78",5,"football","Colby","College","Home","0",1,"none","0",100,0
"79",6,"football","Tufts","University","Home","0",1,"none","0",100,0
"80",7,"football","Wesleyan","University","Away","66.9",2,"pete","108.1104",100,1.081104
"81",8,"football","Bowdoin","College","Away","200",2,"pete","323.2",100,3.232
"82",9,"football","Williams","College","Home","0",1,"none","0",100,0
"83",1,"wlax","Middlebury","College","Home","0",1,"none","0",36,0
"84",2,"wlax","Roger","Williams","Home","0",1,"none","0",36,0
"85",3,"wlax","Hamilton","College","Away","205",1,"pete","165.64",36,4.60111111111111
"86",4,"wlax","Colby","College","Away","259",1,"pete","209.272",36,5.81311111111111
"87",5,"wlax","Massachusetts","Institute","Away","88.9",1,"pete","71.8312",36,1.99531111111111
"88",6,"wlax","Bowdoin","College","Home","0",1,"none","0",36,0
"89",7,"wlax","Westfield","State","Home","0",1,"none","0",36,0
"90",8,"wlax","Stevens","Amherst","Home","0",1,"none","0",36,0
"91",9,"wlax","Wesleyan","University","Home","0",1,"none","0",36,0
"92",10,"wlax","Williams","College","Away","59.8",1,"pete","48.3184",36,1.34217777777778
"93",11,"wlax","Connecticut","College","Home","0",1,"none","0",36,0
"94",12,"wlax","Bates","College","Away","207",1,"pete","167.256",36,4.646
"95",13,"wlax","Babson","College","Home","0",1,"none","0",36,0
"96",14,"wlax","Tufts","University","Home","0",1,"none","0",36,0
"97",15,"wlax","Trinity","College","Away","52.4",1,"pete","42.3392",36,1.17608888888889
"98",1,"mlax","Middlebury","College","Away","85",1,"pete","68.68",49,1.40163265306122
"99",2,"mlax","Springfield","College","Away","27.6",1,"pete","22.3008",49,0.455118367346939
"100",3,"mlax","Hamilton","College","Home","0",1,"none","0",49,0
"101",4,"mlax","Swarthmore","College","Home","0",1,"none","0",49,0
"102",5,"mlax","Colby","College","Home","0",1,"none","0",49,0
"103",6,"mlax","Gettysburg","College","Away","390",1,"pete","315.12",49,6.43102040816327
"104",7,"mlax","Bowdoin","College","Away","200",1,"pete","161.6",49,3.29795918367347
"105",8,"mlax","University","of","Away","259",1,"pete","209.272",49,0
"106",9,"mlax","Wesleyan","University","Away","66.9",1,"pete","54.0552",49,1.10316734693878
"107",10,"mlax","Williams","College","Home","0",1,"none","0",49,0
"108",11,"mlax","Connecticut","College","Away","99",1,"pete","79.992",49,1.63248979591837
"109",12,"mlax","Bates","College","Home","0",1,"none","0",49,0
"110",13,"mlax","Rensselaer","Polytechnic","Home","0",1,"none","0",49,0
"111",14,"mlax","Tufts","University","Away","87.7",1,"pete","70.8616",49,1.44615510204082
"112",15,"mlax","Trinity","College","Home","0",1,"none","0",49,0
"113",1,"wsoc","Lesley","University","Away","87.9",1,"pete","71.0232",30,2.36744
"114",2,"wsoc","Middlebury","College","Away","85",1,"pete","68.68",30,2.28933333333333
"115",3,"wsoc","Smith","College","Home","0",1,"none","0",30,0
"116",4,"wsoc","Lasell","University","Home","0",1,"none","0",30,0
"117",5,"wsoc","Tufts","University","Away","87.7",1,"pete","70.8616",30,2.36205333333333
"118",6,"wsoc","Connecticut","College","Away","99",1,"pete","79.992",30,2.6664
"119",7,"wsoc","Bates","College","Home","0",1,"none","0",30,0
"120",8,"wsoc","Colby","College","Home","0",1,"none","0",30,0
"121",9,"wsoc","Williams","College","Home","0",1,"none","0",30,0
"122",10,"wsoc","Wesleyan","University","Away","66.9",1,"pete","54.0552",30,1.80184
"123",11,"wsoc","Bowdoin","College","Away","200",1,"pete","161.6",30,5.38666666666667
"124",12,"wsoc","Rhode","Island","Home","0",1,"none","0",30,0
"125",13,"wsoc","Vermont","State","Home","0",1,"none","0",30,0
"126",14,"wsoc","Hamilton","College","Home","0",1,"none","0",30,0
"127",15,"wsoc","Trinity","College","Home","0",1,"none","0",30,0
"128",16,"wsoc","Tufts","University","Home","0",1,"none","0",30,0
