Amherst College
2023-24 Men's Golf Schedule


Date           Time      At        Opponent                               Location                                            Tournament   Result        
Sep 9 (Sat)    1 PM      Away      Nelson Invitational                    Middlebury, VT (Myhre Golf Course)                                             
Sep 10 (Sun)   9 AM      Away      Nelson Invitational                    Middlebury, VT (Myhre Golf Course)                                             
Sep 16 (Sat)   1 PM      Away      Williams Invitational                  Williamstown, MA (Taconic Golf Club)                                           
Sep 17 (Sun)   9 AM      Away      Williams Invitational                  Williamstown, MA (Taconic Golf Club)                                           
Sep 23 (Sat)   1 PM      Away      Bowdoin Invitational                   Brunswick, ME (Brunswick Golf Club)                                            
Sep 24 (Sun)   8:30 AM   Away      Bowdoin Invitational                   Brunswick, ME (Brunswick Golf Club)                                            
Oct 7 (Sat)    8 AM      Away      Skidmore Invitational                  Saratoga Springs, NY (Saratoga Spa State Park)                   Round Canceled
Oct 8 (Sun)    7:10 AM   Away      Skidmore Invitational                  Saratoga Springs, NY (Saratoga Spa State Park)                                 
Mar 22 (Fri)   TBD       Neutral   Jekyll Collegiate at King and Prince   St. Simons Island, GA (King and Prince Golf Club)                              
Mar 23 (Sat)   TBD       Neutral   Jekyll Collegiate at King and Prince   St. Simons Island, GA (King and Prince Golf Club)                              
Mar 24 (Sun)   TBD       Neutral   Jekyll Collegiate at King and Prince   St. Simons Island, GA (King and Prince Golf Club)                              
Apr 13 (Sat)   TBD       Neutral   Tim Brown Invitational                 Ballston Spa, NY (Ballston Spa Country Club)                                   
Apr 14 (Sun)   TBD       Neutral   Tim Brown Invitational                 Ballston Spa, NY (Ballston Spa Country Club)                                   
Apr 20 (Sat)   TBD       Neutral   Williams Spring Invitational           Williamstown, MA (Taconic Golf Club)                                           
Apr 21 (Sun)   TBD       Neutral   Williams Spring Invitational           Williamstown, MA (Taconic Golf Club)                                           
Apr 23 (Tue)   TBD       Neutral   Little Three Championship              Williamstown, MA (Taconic Golf Club)                                           
Apr 27 (Sat)   TBD       Neutral   NESCAC Championship                    Brunswick, ME (Brunswick Golf Club)                                            
Apr 28 (Sun)   TBD       Neutral   NESCAC Championship                    Brunswick, ME (Brunswick Golf Club)
