Amherst College
2023-24 Women's Golf Schedule


Date           Time       At        Opponent                                Location                                      Tournament   Result
Sep 16 (Sat)   1 PM       Away      Phinney Classic                         Middlebury, VT (Myhre Golf Course)                               
Sep 17 (Sun)   9 AM       Away      Phinney Classic                         Middlebury, VT (Myhre Golf Course)                               
Sep 23 (Sat)   1 PM       Away      Williams Invitational                   Williamstown, MA (Taconic Golf Club)                             
Sep 24 (Sun)   9 AM       Away      Williams Invitational                   Williamstown, MA (Taconic Golf Club)                             
Oct 1 (Sun)    9:20 AM    Away      NCAA Fall Preview                       Nicholasville, KY (Keene Trace Golf Club)                        
Oct 2 (Mon)    9 AM       Away      NCAA Fall Preview                       Nicholasville, KY (Keene Trace Golf Club)                        
Oct 7 (Sat)    11 AM      Away      NESCAC Fall Qualifier                   Auburn, ME (Martindale Country Club)                             
Oct 8 (Sun)    10:30 AM   Away      NESCAC Fall Qualifier                   Auburn, ME (Martindale Country Club)                             
Oct 10 (Tue)   1 PM       Neutral   Little Three Championship               Williamstown, MA (Taconic Golf Club)                             
Mar 22 (Fri)   TBD        Neutral   Jekyll Island Collegiate Invitational   Jekyll Island, GA (Jekyll Island Golf Club)                      
Mar 23 (Sat)   TBD        Neutral   Jekyll Island Collegiate Invitational   Jekyll Island, GA (Jekyll Island Golf Club)                      
Mar 24 (Sun)   TBD        Neutral   Jekyll Island Collegiate Invitational   Jekyll Island, GA (Jekyll Island Golf Club)                      
Apr 13 (Sat)   TBD        Neutral   Cortland Martin/Wallace Invitational    Cortland, NY (Cortland Country Club)                             
Apr 14 (Sun)   TBD        Neutral   Cortland Martin/Wallace Invitational    Cortland, NY (Cortland Country Club)                             
Apr 20 (Sat)   TBD        Neutral   Jack Leaman Invitational                South Hadley, MA (Orchards Golf Club)                            
Apr 21 (Sun)   TBD        Neutral   Jack Leaman Invitational                South Hadley, MA (Orchards Golf Club)                            
May 4 (Sat)    TBD        Neutral   NESCAC Championship                     Williamstown, MA (Taconic Golf Club)                             
May 5 (Sun)    TBD        Neutral   NESCAC Championship                     Williamstown, MA (Taconic Golf Club)
