Amherst College
2023-24 Women's Tennis Schedule

Overall    0-0  .000
Conference 0-0  .000
Streak     
Home       0-0
Away       0-0
Neutral    0-0

Date           Time        At        Opponent                                                Location                              Tournament   Result
Sep 15 (Fri)   10 AM       Away      MIT Invitational                                        Cambridge, MA                                            
Sep 16 (Sat)   9 AM        Away      MIT Invitational                                        Cambridge, MA                                            
Sep 17 (Sun)   9 AM        Away      MIT Invitational                                        Cambridge, MA                                            
Sep 22 (Fri)   8 AM        Away      ITA New England Regional Championships                  Middletown, CT                                           
Oct 6 (Fri)    1 PM        Away      New England Women's Intercollegiate Tennis Tournament   Northampton, MA                                          
Oct 7 (Sat)    8:30 AM     Away      New England Women's Intercollegiate Tennis Tournament   South Hadley, MA                                         
Oct 8 (Sun)    9 AM        Away      New England Women's Intercollegiate Tennis Tournament   Northampton, MA                                          
Mar 9 (Sat)    10 AM       Home      Wesleyan University                                     Amherst, MA (Amherst Tennis Courts)                      
Mar 10 (Sun)   12 PM       Home      Brandeis University                                     Amherst, MA (Amherst Tennis Courts)                      
Mar 17 (Sun)   1 PM (ET)   Away      University of Redlands                                  Redlands, CA                                             
Mar 17 (Sun)   5 PM (ET)   Neutral   Whitman College                                         Redlands, CA                                             
Mar 22 (Fri)   7 PM (ET)   Away      Pomona-Pitzer                                           Claremont, CA                                            
Mar 23 (Sat)   1 PM (ET)   Away      Claremont-Mudd-Scripps Colleges                         Claremont, CA                                            
Mar 30 (Sat)   10 AM       Neutral   University of Rochester                                 Clinton, NY                                              
Mar 30 (Sat)   2 PM        Away      Hamilton College                                        Clinton, NY                                              
Apr 6 (Sat)    10 AM       Home      Colby College                                           Amherst, MA (Amherst Tennis Courts)                      
Apr 7 (Sun)    12 PM       Home      Bowdoin College                                         Amherst, MA (Amherst Tennis Courts)                      
Apr 12 (Fri)   3 PM        Away      Massachusetts Institute of Technology                   Cambridge, MA                                            
Apr 14 (Sun)   12 PM       Home      Connecticut College                                     Amherst, MA (Amherst Tennis Courts)                      
Apr 16 (Tue)   4 PM        Home      Trinity College                                         Amherst, MA (Amherst Tennis Courts)                      
Apr 20 (Sat)   1 PM        Away      Williams College                                        Williamstown, MA                                         
Apr 21 (Sun)   1 PM        Away      Middlebury College                                      Middlebury, VT                                           
Apr 27 (Sat)   2 PM        Away      Bates College                                           Lewiston, ME                                             
Apr 28 (Sun)   2 PM        Away      Tufts University                                        Medford, MA
